彼號嘿,hit-lō--heh
sabìsù一下,sa-bì-sù--tsi̍t-ē
俗咧,sio̍h--leh
sabìsù你,sa-bì-sù
咧啦,bái--leh--lah
量,niû,liōng
sàisù才,sài-sù
轉去才,bé--tńg-khì
覺穿,huat-kak
lu,bē
eh,lueh
家具,ka-khū,ka-kū
sàisù,sài-sù
國小,kok-sió
初中,tshoo-tiong
sakkhuh,sak-khuh
佮意無,kah-ì--bô
宴會,iàn-huē
sebílooh,se-bí-looh
sèhù啦,sè-hù--lah
粗坯,tshoo-phe
做一下,tsò--tsi̍t-ē
siágeh,si-á-geh
siattooh一下,siat-tooh--tsi̍t-ē
siattsuh,siat-tsuh
早起時,tsá-khí-sî
卵煎,nn̄g-tsian
早起頓,tsá-khí-tǹg
坩,khann
sirtiánlèsù的,sir-tián-lè-sù
胎的ōo,siang-the--ê,siang-thai--ê
煠好,sa̍h-hó
sòosù,sòo-sù
查某人,tsa-bóo-lâng,ta-bóo-lâng
sukhútà,su-khú-tà
隻的,tsiah--ê
sukhùtà,su-khù-tà
一二五的,it-jī-ngóo--ê
贏,iânn
sulitpah,su-lit-pah
虼蚻,ka-tsua̍h
牛肉場,gû-bah-tiûnn
sutólippuh,su-tó-lip-puh
抓耙仔,jiàu-pê-á
sutólippuh所,su-tó-lip-puh
以警,sóo-í
察佇,kíng-tshat
壁徛,āu-piah
壁欲,khiā-piah
查某孫,tsa-bóo-sun
súsih,sú-sih
古早時,kóo-tsá-sî
配,phuè,phè
梅仔,muê-á
thakhúáng,tha-khú-áng
古早,kóo-tsá
大眾,tāi-tsiòng
運輸,ūn-su
普遍,phóo-phiàn
thakhúsih,tha-khú-sih
thathámih,tha-thá-mih
眠床,bîn-tshn̂g
Thathámih,tha-thá-mih
反天,huán-thinn
溼溼,sip-sip
睏起來,khùn--khí-lâi
快活,khuìnn-ua̍h
thàiià,thài-ià
換過,uānn--kuè
thàilù,thài-lù
跙人,tshū--lâng
跋倒,pua̍h-tó
必開矣,pit--khui--ah
敲電話,khà-tiān-uē
師傅,sai-hū
thakkhooh,thak-khooh
𩚨蓋,khiū
Thàngòo,thàn-gòo
文雅,bûn-ngá
舞步,bú-pōo
thàngòo,thàn-gòo
滿,muá,buán-tsiok
埕,tiânn
thàngsù,thàng-sù
嫁粧,kè-tsng
佮來的,kah--lâi--ê
thenísuh,the-ní-suh
走來走去,tsáu-lâi-tsáu-khì
thia̋npúlah,thia̋n-pú-lah
Kelâng,ke-lâng
廟口,biō-kháu
擔,tànn,tann,lóng
夜市仔,iā-tshī-á
喝賣,huah-bē
thia̋npúlah誠,thia̋n-pú-lah
受,tsiânn,siū
歡,siū
迎生,huan-gîng
理有,sing-lí
thoolákhuh,thoo-lá-khuh
Thoolákhuh,thoo-lá-khuh
駛過去,sái--kuè-khì
烏煙黗,oo-ian-thûn
空氣,khong-khì
thoomátooh,thoo-má-tooh
甜,tinn
tóosàng,tóo-sàng
尊嚴,tsun-giâm
這馬的,tsit-má--ê
tsiookóolètòo,tsioo-kóo-lè-tòo
肥,puî
店裡,tiàm--lí
tsitpuh,tsit-puh
ulóng麵,u-lóng-mī
𩚨有,khiū
閒的,ū-îng
陣會,sî-tsūn
使做,ē-sái
伙去,tsò-hué
覓,khuànn-māi
練習,liān-si̍p
法度,huat-tōo
ualútsuh,ua-lú-tsuh
門口埕,mn̂g-kháu-tiânn
傳來,thuân-lâi
薟啦,hiam--lah
薟,hiam
擤鼻,sǹg-phī
薟的,hiam--ê
mőo,mőo
ua̋isiattsuh,ua̋i-siat-tsuh
精神,tsing-sîn
ua̋isiátsuh,ua̋i-siá-tsuh
ùntsiàng,ùn-tsiàng
辛苦,sin-khóo
飯店,pn̄g-tiàm
nètsiàng,nè-tsiàng
禮貌的,lé-māu--ê
Tshia̋npálah,tshia̋n-pá-lah
胃腸,uī-tn̂g
逐工,ta̍k-kang
uakhámóotooh,ua-khá-móo-tooh
布料,pòo-liāu
thia̍tthóolóng,thia̍t-thóo-lóng
親情,tshin-tsiânn
a̋ngkhóoímooh,a̋ng-khóo-í-mooh
oomíágè紮,oo-mí-á-gè
來賓,lâi-pin
見,kiàn,kìnn
展覽,tián-lám
祝,tsiok
健康,kiān-khong
萬事,bān-sū
如意,jû-ì,lû-ì
phàng見,phàng-kìnn
貴賓,kuì-pin
服務台,ho̍k-bū-tâi
勞力,lóo-la̍t
文玉,bûn-gio̍k
第一,tē-it
相等,sio-tán
楊,iûnn
東萍,tong-phîng
櫃台,kuī-tâi
薛,sih
丞宏,sîng-hông
正門,tsiànn-mn̂g
門口,mn̂g-kháu
阿宏,a-hông
觀眾,kuan-tsiòng
gâu早,gâu-tsá
圖,tôo
面頂乎,bīn-tíng--honnh
太平洋,thài-pîng-iûnn
雲,hûn
熱帶性,jia̍t-tài-sìng
低氣壓,kē-khì-ap
南海,lâm-hái
增強,tsing-kiông
風颱,hong-thai
拜六,pài-la̍k
暗,àm
澎湖,phênn-ôo
金門,kim-mn̂g
出國,tshut-kok
細膩的,sè-lī--ê
紲落來,suà--lo̍h-lâi
第五,tē-gōo
號,hō
珍珠,tsin-tsu
倚入來,uá--ji̍p-lâi
西北雨,sai-pak-hōo
東爿,tang-pîng
外海,guā-hái
猶毋過,iáu-m̄-koh
離,lī
有一塊仔,ū--tsi̍t-tè-á
直接,ti̍t-tsiap
雨啦,hōo--lah
小khua̋仔,sió-khua̋-á
關係的,kuan-hē--ê
南爿,lâm-pîng
水氣,tsuí-khì
紮入來,tsap--ji̍p-lâi
雨,hōo
拜三,pài-sann
南部,lâm-pōo
東部,tang-pōo
北部,pak-pōo
中部,tiong-pōo
這種,tsit-tsióng
情形,tsîng-hîng
khuàinn啦,khuàinn--lah
話頭,uē-thâu
讀者,tho̍k-tsiá
諸君,tsu-kun
劉,lâu
承,sîng-hiân
厚話,kāu-uē
攔頭,nuâ-thâu
寫幾頁仔,siá--kuí-ia̍h-á
冬,tang
過矣,kuè--ah
譴,khiàn
毋知,m̄-tsai
交代一下,kau-tāi--tsi̍t-ē
篇,phinn
故事,kòo-sū
前後,tsîng-āu
上尾,siōng-bué
煞戲,suah-hì
拄拄,tú-tú
倒轉,tò-tńg
出版,tshut-pán
收入來的,siu--ji̍p-lâi--ê
小說,siáu-suat
文類,bûn-luī
成果,sîng-kó
來講,lâi-kóng
當然,tong-liân
論文,lūn-bûn
教材,kàu-tshâi
創作,tshòng-tsok
目標,bo̍k-piau
一站仔,tsi̍t-tsām-á
懶屍懶屍,lán-si-lán-si
想講,siūnn-kóng
定著,tiānn-tio̍h
也,iā
機關,ki-kuan
何乜苦咧,hô-mí-khóo--leh
所致,sóo-tì
趁,thàn
所費,sóo-huì
激,kik
作品,tsok-phín
加加減減,ke-ke-kiám-kiám
附,hù,hù-sio̍k
hòng,hòng
興趣,hìng-tshù
讀的,tha̍k--ê
少數,tsió-sòo
自來,tsū-lâi
出冊,tshut-tsheh
不管,put-kuán
寫了,siá-liáu
褒,po
臭臊,tshàu-tsho
嘛是,mā-sī
暢的,thiòng--ê
極加,ki̍k-ke
身軀邊,sin-khu-pinn,sing-khu-pinn
搭粒的,tah-lia̍p--ê
讀,tha̍k,lóng
呵咾幾句仔袂,o-ló--kuí-kù-á--bē
老實,láu-si̍t
食褒,tsia̍h-po
死啦,sí--lah
猶,iáu
要意,iàu-ì
攏是,lóng-sī
uânnā,uân-nā
毋是,m̄-sī
倒咧,tó-leh
餓,gō
獎金,tsióng-kim
閣再,koh-tsài
評審,phîng-sím
干干仔,kan-kan-á
意思的,ì-sù--ê
將,tsiong
心裡,sim--lí
規心,kui-sim
文字,bûn-jī
試驗,tshì-giām
層面,tsân-bīn
換做,uānn-tso3
題材,tê-tsâi
致心,tì-sim
讀著,tha̍k-tio̍h
起毛,khí-moo
婸,giang
個人,kò-jîn
才情,tsâi-tsîng
盡量,tsīn-liōng
講起來,kóng--khí-lâi
順序,sūn-sī
寫作,siá-tsok
倒頭,tò-thâu
檢采,kiám-tshái
感受,kám-siū
心態,sim-thài
轉變,tsuán-piàn
也kúkánn,iā-kú-kánn
感,kám,kám-tōng
謝,siā
金順,kim-sūn
兄,hiann
文學,bûn-ha̍k
出版的,tshut-pán--ê
目今,ba̍k-kim
罕矣,hán--ah
印出來,ìn--tshut-lâi
發現,huat-hiān
khuàinn的,khuàinn--ê
可能性,khó-lîng-sìng
閣有,koh-ū
向望,ǹg-bāng
出了,tshut-liáu
價值啦,kè-ta̍t--lah
角花仔,kak-hue-á
素花仔,sòo-hue-á
洪,âng
錦田,gìm-tiân
海翁,hái-ang
月刊,gue̍h-khan
期,kî
鮮豔,sian-iām
tsa̋u囡仔,tsa̋u-gín-á
洋裝,iûnn-tsong
店頭,tiàm-thâu
玻璃,po-lê
櫥仔,tû-á
中逝,tiong-tsuā
紩,thīnn
金色,kim-sik
鈕仔,liú-á
閃閃爍爍,siám-siám-sih-sih
唌,siânn
目的,bo̍k--ê,bo̍k-ti̍k
下裙,ē-kûn
繡,siù
白兔仔,pe̍h-thòo-á
唌倒,siânn-tó
tsa̋u囡仔咧,tsa̋u-gín-á--leh
月日,gue̍h-ji̍t,ge̍h-ji̍t
交關,kau-kuan
穿插,tshīng-tshah
高尚,ko-sióng
中年,tiong-liân
婦人人,hū-jîn-lâng
行過,kiânn--kuè
看咧,khuànn--leh
古錐,kóo-tsui
洋裝呢,iûnn-tsong--neh
挃,ti̍h,ti̍nnh
軀啦,su--lah
指,kí
玻璃櫥,po-lê-tû
好矣啦,hó--ah--lah
吵,tshá
媠的無,suí--ê--bô
阿母,a-bú
毋啦,m̄--lah
領啦,niá--lah
好心咧啦,hó-sim--leh--lah
喝止,hat-tsí
張張掣掣,tiunn-tiunn-tshuah-tshuah
吼,háu
好啦,hó--lah
阿妙,a-biāu
乖,kuai
吼乎,háu--honnh
恬囉,tiām--looh
成做,tsiânn-tsò
拍派,phah-phài
帶,tuà,tài
衫櫥仔內,sann-tû-á-lāi
衫櫥仔,sann-tû-á
狹櫼櫼,e̍h-tsinn-tsinn
huâi,huâi
舊,kū
漚臭,àu-tshàu
衫仔裙,sann-á-kûn
邊,pinn
跔,ku
主人,tsú-lâng
倖,sīng
致使,tì-sú
厝邊,tshù-pinn
上目,tsiūnn-ba̍k
自,tsū,tshiú
出外,tshut-guā
牢牢,tiâu-tiâu
因端,in-tuan,in-tuann
款樣,khuán-iūnn
呵咾的,o-ló--ê
tsa̋u囡仔伴,tsa̋u-gín-á-phuānn
sânn,sânn
Iah,iah
變甲,piàn-kah
目頭懸,ba̍k-thâu-kuân
臭煬,tshàu-iāng
塊塊,tè-tè
相借問,sio-tsioh-mn̄g
媠的,suí--ê
liòo,liòo
欣羨,him-siān
佮意你,kah-ì--lí
運動衫,ūn-tōng-sann
開喙,khui-tshuì
呵咾,o-ló
哎iahT,aih-iah
siâ,tsiâ
佮意咧,kah-ì--leh
媠面,suí-bīn
並,phīng,pīng
開咧,khui--leh
蠓,báng
徙跤,suá-kha
孤khu̍t啦,koo-khu̍t--lah
厝邊兜,tshù-pinn-tau
好朋友呢,hó-pîng-iú--neh
褲裙,khòo-kûn
袂做得,bē-tsò-tit
踏話囉,ta̍h-uē--looh
Tsiâ,tsiâ
好朋友,hó-pîng-iú
衰著,sue--tio̍h
褲,khòo
毋成,m̄-tsiânn
裙,kûn,kiat
半陰陽的,puànn-iam-iûnn--ê
㤉â,gê
啦角,siám--lah
花仔講,kak-hue-á
出呸,kóng-tshut
瀾的,phuì-nuā
齪死,tsak--sí
唔唔睏,onn-onn-khùn
拍鐵仔褲,phah-thih-á-khòo
大的,tuā--ê
忍,jím
大喝,tuā-huah
一時的,tsi̍t-sî--ê
聲說,siann-sueh
恬去,tiām--khì
幽靜,iu-tsīng
恬恬仔,tiām-tiām-á
ti̋,ti̋
回想,huê-sióng
哈,hah,ha
眾人,tsìng-lâng
純真,sûn-tsin
活骨,ua̍h-kut
款曲,khuán-khiok
蹛,tuà
塗跤兜,thôo-kha-tau
輾,liàn,lìn
飛起飛落,pue-khí-pue-lo̍h
心情,sim-tsîng,sim-tsiânn
清彩起來,tshing-tshái--khí-lâi
阿母啊,a-bú--ah
媠的呢,suí--ê--neh
感謝你喔,kám-siā--lí--ooh
說謝,sueh-siā
為,uī
歡喜著,huann-hí--tio̍h
目𥍉仔,ba̍k-nih-á
開開矣,khui--khui--ah
手裡,tshiú--lí
純白色,sûn-pe̍h-sik
胸前,hing-tsîng
實腹,tsa̍t-pak
金爍爍,kim-sih-sih
金,kim,kim’,tsióng-kim
雞心,ke-sim
型,hîng
金片,kim-phìnn
絲質,si-tsit
透明,thàu-bîng
手䘼閣,tshiú-ńg
釣,koh
幼,tsiah,iù,ló
秀的,iù-siù
蝶,ê
仔結,ia̍h-á
裾閣,kûn-ki
kún,koh
沿,tsi̍t,lâng,iân
草的,hue-tsháu
l,ê
uehsù看,lueh-sù
lő,khuànn
樸,lő
真閣,phoh-tsin
力,la̍t
掰開,pué-khui,pué--khui
洗了,sé-liáu
邊仔,pinn-á,pinn--á
喙䫌,tshuì-phué
浮出,phû-tshut
笑微微,tshiò-bî-bî
面容,bīn-iông
吐地邪眼,thóo-tē-siâ-gán
表情,piáu-tsîng
金金看,kim-kim-khuànn
喂,ueh,eh,uê
白衫番啊,pe̍h-sann-huan--ah
對目,tuì-ba̍k
刺鑿,tshì-tsha̍k
臭火,tshàu-hué
細膩,sè-jī,sè-lī,suè-jī
喔,ooh,bián-tsînn--ê--ooh
歹勢啦,pháinn-sè--lah
號做,hō-tsò
見面,kìnn-bīn
有禮有教,ū-lé-ū-kà
回答,huê-tap
哼,hngh
kheh,kheh
ôo,ôo
白透龍的,pe̍h-thàu-liông--ê
直,ti̍t
搖手,iô-tshiú
兼,kiam
掰,pué
握手,at-tshiú
對不住啦,tuì-put-tsū--lah
佗落,tó-lo̍h
得失,tik-sit
你乎,lí--honnh
嘿,heh,hennh
來到,lâi-kàu
這搭,tsit-tah
我矣,guá--ah
囉唆,lô-so
答喙鼓,tap-tshuì-kóo
講煞,kóng-suah
越頭,ua̍t-thâu
摔大眠,siak-tuā-bîn
阿舅,a-kū
娶某矣,tshuā-bóo--ah
落地鏡,lo̍h-tē-kiànn
phîn啊,phîn--ah
phîn,phîn
照啊,tsiò--ah
笑獅獅,tshiò-sai-sai
Ua̋,ua̋
公主咧,kong-tsú--leh
情況,tsîng-hóng
毛,moo
㤉目,gê-ba̍k
機緣,ki-iân
洗衫機,sé-sann-ki
洗身軀,sé-sing-khu
白sutsut予,pe̍h-sut-sut
主,hōo,tshiánn,tsú
人阿,tsú-lâng
妙共,a-biāu
ts,kā
huā出tshuā入,tshuā-tshut-tshuā-ji̍p
目空赤的,ba̍k-khang-tshiah--ê
一時,tsi̍t-sî,it-sî
起妒賢,khí-tòo-hiân
奸詭步,kan-kuí-pōo
好看,hó-khuànn
下性命,hē-sìnn-miā
吐吐出來,thòo-thòo--tshut-lâi
順著,sūn-tio̍h
衫槽khut仔,sann-tsô-khut-á
tih,tih
轉踅,tńg-se̍h
當中,tang-tiong
七噴八噴,tshit-phùn-peh-phùn
三𪐞四𪐞𪐞,sann-tòo-sì-tòo
素,kah
花仔規,sòo-hue-á
身軀全,kui-sing-khu
彩色的花,gōo-tshái-sik--ê
巴哩貓,hue-pa-li-niau
苦苦,khóo-khóo
哀求,ai-kiû
天良,thian-liông
損命命,sńg-miā-miā
損蕩人,sńg-tn̄g--lâng
惡毒步,ok-to̍k-pōo
失德代,sit-tik-tāi
咻喝,hiu-huah
刁意故,thiau-ì-kòo
全身,tsuân-sin
跡,jiah
白的,pe̍h--ê
露出,lōo-tshut
ka̋ng,ka̋ng
奸雄笑,kan-hiông-tshiò
可憐代啊,khó-liân-tāi--ah
可憐代,khó-liân-tāi
𪐞,tòo
衫仔樣,sann-á-iūnn
傷心,siong-sim
現,hiān
不,put
屈,khut
槽仔,tsô-á
答,tap
khuáinn,khuáinn
花巴哩貓,hue-pa-li-niau
受氣,siū-khì
擲,tàn
糞埽桶lín,pùn-sò-tháng--lín
益,iah
暢甲,thiòng-kah
袂牢,bē-tiâu
媠氣的,suí-khuì--ê
用了,iōng-liáu
bái,bái
此,tshú
个啦謼,ê--lah--hooh
紲落,suà-lo̍h,suà--lo̍h
又,iū
搦起來,la̍k--khí-lâi
面仔,bīn-á
齊,tsiâu
慄色,lik-sik
去了了矣,khì-liáu-liáu--ah
退色,thè-sik
退,thè
袂孝孤得,bē-hàu-koo-tsit
無去矣,bô--khì--ah
糞埽桶裡,pùn-sò-tháng--lí
奸笑聲,kan-tshiò-siann
鳥胘咧,tsiáu-kiān--leh
現此時,hiān-tshú-sî,hiān-tsú-sî
痠疼,sng-thiànn
大概,tāi-khài
皮肉,phê-bah
白殕白殕,pe̍h-phú-pe̍h-phú
一絲仔,tsi̍t-si-á
氣力,khuì-la̍t
徛,khiā
軟荍荍,nńg-siô-siô
䖙,the
桶仔內,tháng-á-lāi
nē,nē
腹腸,pak-tn̂g
踏,ta̍h
倚,uá
捋,lua̍h
胸坎,hing-khám
筋路,kin-lōo
得定落來,tik-tiānn--lo̍h-lâi
元氣,guân-khì
喘氣,tshuán-khuì
順,sūn
當陣,tang-tsūn
反悔,huán-hué
下,hā,hē,ē,hā-khò
毒手,to̍k-tshiú
會失禮,huē-sit-lé
求,kiû
寬諒,khuan-liōng
講和,kóng-hô
隔轉工,keh-tńg-kang
下晝,ē-tàu
糞埽場裡,pùn-sò-tiûnn--lí
下晡時仔,ē-poo-sî-á
炎熱,iām-jua̍h
臭味,tshàu-bī
滿四界,muá-sì-kuè
在場,tsāi-tiûnn
害物仔,hāi-mih-á
hua̋i,hua̋i
癩ko爛癆,thái-ko-nuā-lô
生頭發尾,senn-thâu-huat-bué
瘸跤破相,khuê-kha-phuà-siùnn
歪膏揤斜,uai-ko-tshi̍h-tshua̍h
雞母皮,ke-bó-phuê
齷齪,ak-tsak
破病,phuà-pēnn
硬,ngē
激死,kik--sí
佳哉仔佳哉,ka-tsài-á-kai-tsài
欲暗仔,beh-àm-á
歹銅舊錫,phái-tâng-kū-siah
媠媠咧,suí-suí--leh
抾走,khioh-tsáu
疼心,thiànn-sim
曝,pha̍k
焦,ta
熨斗,ut-táu
熨,ut
新的,sin--ê
精差,tsing-tsha
𪜶,in
蹌跤,tshíng-kha
對看,tuì-khuànn
笑吻吻,tshiò-bún-bún
花蕊,hue-luí
一蕊,tsi̍t-luí
浮出來,phû--tshut-lâi
圓仔,înn-á
神仙,sîn-sian
林,lîm
麗黛,lē-tāi
譯寫,i̍k-siá
空二,khòng-jī
高雄,ko-hiông
左營區,tsó-iânn-khu
和,hām
無啥物,bô-siánn-mih
各樣,koh-iūnn
正手爿,tsiànn-tshiú-pîng
削過,siah--kuè
形,hîng,pí
半,puànn
閘屏咧,tsa̍h-pîn--leh
有才調,ū-tsâi-tiāu
半爿,puànn-pîng
閘牢咧,tsa̍h-tiâu--leh
半屏山,puànn-pîng-suann
是按怎,sī-án-tsuánn
半爿咧,puànn-pîng--leh
去咧,khì--leh
當地,tong-tē
流傳落來,liû-thuân--lo̍h-lâi
傳說,thuân-suat
八仙,pat-sian
漢,hàn
鍾離,tsing-lî
漢仙人,hàn-sian-jîn
徒弟,tôo-tē
文章,bûn-tsiunn,bûn-tsiong
武功,bú-kong
厲害,lī-hāi
難得的,lân-tit--ê
囂俳,hiau-pai
禮貌,lé-māu
可惜,khó-sioh
致著,tì-tio̍h
怪,kuài
仙醫,sian-i
醫,i
少年,siàu-liân,siáu-liân
離開,lī-khui
世間,sè-kan
心肝頭,sim-kuann-thâu
刀,to
割咧,kuah--leh
決定,kuat-tīng
人間,jîn-kan,lîn-kan
走揣,tsáu-tshuē
條直,tiâu-ti̍t
善良,siān-liông
好人,hó-lâng
雲尪,hûn-ang
島嶼,tó-sū
美麗,bí-lē
心內,sim-lāi
遮爾仔,tsiah-nī-á
山嶺,suann-niá
青lìnglìng溪,tshenn-lìng-lìng
水清,khe-tsuí
清清佇,tshing-tshing-tshing
所,hó,sóo,sóo-í,ê
在我,sóo-tsāi
著會,tiānn-tio̍h
當揣,ē-tàng
著一,tshuē-tio̍h
个仔好,tsi̍t-ê-á
徒,hó
弟,tôo-tē,ti̋
徛起,khiā-khí
臺灣島,tâi-uân-tó
寬寬仔,khuann-khuann-á
跳落來,thiàu--lo̍h-lâi
拄拄仔好,tú-tú-á-hó
降落,kàng-lo̍h
左營,tsó-iânn
走揣咧,tsáu-tshuē--leh
心肝,sim-kuann
可靠,khó-khò
試探,tshì-thàm
拍算,phah-sǹg
四箍圍仔,sì-khoo-uî-á
環境,khuân-kíng
看看,khuànn-khuànn
相相咧,siòng-siòng--leh
步數,pōo-sòo
隨身,suî-sin
葵扇,khuê-sìnn
提出來,the̍h--tshut-lâi
略略仔,lio̍h-lio̍h-á
擛擛咧,ia̍t-ia̍t--leh
尾溜,bué-liu
風,hong,kuè
透,thàu
大風,tuā-hong
塗,thôo
崩落來,pang--lo̍h-lâi
本成,pún-tsiânn
好勢好勢,hó-sè-hó-sè
削去,siah-khì
一大塊,tsi̍t-tuā-tè
閣用,koh-īng
堆,tui
變成,piàn-sîng
一粒仔,tsi̍t-lia̍p-á
一粒,tsi̍t-lia̍p
打扮,tánn-pān
擔仔,tann-á,tànn-á
擔咧,tann--leh
山邊,suann-pinn
來喔,lâi--ooh
圓仔喔,înn-á--ooh
芳絳絳,phang-kòng-kòng
紅豆仔,âng-tāu-á
甜粅粅,tinn-but-but
大聲,tuā-siann
大粒,tuā-lia̍p
角,kak
銀,gîn
免錢喔,bián-tsînn--ooh
喝賣聲,huah-bē-siann
吸引,khip-ín
行路人,kiânn-lōo-lâng
誠實,tsiânn-si̍t
講耍笑,kóng-sńg-tshiò
免錢啦,bián-tsînn--lah
戇啦,gōng--lah
無的確,bô-tik-khak
起痟矣,khí-siáu--ah
Ê,ê
從來,tsiông-lâi
問題乎,būn-tê--honnh
圍,uî
互相,hōo-siong
討論,thó-lūn
平常時仔,pîng-siông-sî-á
痟貪,siáu-tham
大頭仔,tuā-thâu-á
王的,ông--ê
免錢,bián-tsînn
唬阮,hóo--gún
人啊,lâng--ah
討厭,thó-ià
老實囉,láu-si̍t--looh
騙人,phiàn--lâng
守,siú
信用咧,sìn-iōng--leh
悾,khong
戇,gōng
滾耍笑,kún-sńg-tshiò
看覓咧,khuànn-māi--leh
雞卵,ke-nn̄g
圈,khian
搩,kiat
腹肚,pak-tóo
小可仔,sió-khuá-á
飽矣,pá--ah
挲挲咧,so-so--leh
繼續,kè-sio̍k
窸窣叫,si̍h-su̍t-kiò
第三,tē-sann
食食落去,tsia̍h-tsia̍h--lo̍h-khì
Uah,uah
出世,tshut-sì
圓仔呢,înn-á--neh
毋管,m̄-kuán
盡,tsīn
辦法,pān-huat
食落去,tsia̍h--lo̍h-khì
停手,thîng-tshiú
舀,iúnn
目𥍉仔久,ba̍k-nih-á-kú
食甲,tsia̍h-kah
空空囉,khang-khang--looh
食了矣,tsia̍h-liáu--ah
為止囉,uî-tsí--looh
食著呢,tsia̍h--tio̍h--neh
夠氣呢,kàu-khuì--neh
食呢,tsia̍h--neh
烰的,phû--ê
來囉,lâi--looh
袂堪得,bē-kham-tsit,bē-kham--tsit,bē-kham-tit
煩,huân
免錢咧,bián-tsînn--leh
好的,hó--ê,tit-tio̍h
食囉,tsia̍h--looh
準算,tsún-sǹg
答應矣,tah-ìng--ah
歡歡喜喜,huann-huann-hí-hí
走囉,tsáu--looh
唉,haih
失望,sit-bōng
攢,tshuân
機會,ki-huē
吐大氣,thóo-tuā-khuì
擔去,tann-khì
昨昏,tsa-hng
挨挨𤲍𤲍,e-e-kheh-kheh
趕緊緊,kuánn-kín-kín
輪著,lûn-tio̍h
我囉,guá--looh
緊咧,kín--leh
搶,tshiúnn
說多謝,sueh-to-siā
枵,iau
大食,tuā-tsia̍h
一睏仔,tsi̍t-khùn-á
六粒,la̍k-lia̍p
輸人,su--lâng
落的,lo̍h--ê
偷偷仔,thau-thau-á
藏,tshàng
袋仔,tē-á
厝裡,tshù--lí
空空空,khang-khang-khang
性命,sìnn-miā,sènn-miā
煮的,tsú--ê
來的無,lâi--ê--bô
好食咧,hó-tsia̍h--leh
配料咧,phè-liāu--leh
好玄,hònn-hiân
幌幌咧,hàinn-hàinn--leh
後擺,āu-pái,āu-pàinn
自然,tsū-liân
答案,tap-àn
追問落去,tui-mn̄g--lo̍h-khì
大喙仔,tuā-tshuì-á
喙咧,tshuì--leh
碗內,uánn-lāi
怪怪呢,kuài-kuài--neh
毋著,m̄-tio̍h
一大片呢,tsi̍t-tuā-phiàn--neh
大頭,tuā-thâu
道理,tō-lí
哎iah管,aih-iah
是緊,a̍h-sī
探,kín
聽一下看,thàm-thiann--tsi̍t-ē
圓,bē
仔的,înn-á
老,ê,lāu,hū
歲仔明,lāu-huè-á
仔載敢,bîn-á-tsài
頭仔王,tuā-thâu-á
的的,ông--ê
朋,ê
友按,pîng-iú
掠準,lia̍h-tsún
niâ咧,niâ--leh
來乎,lâi--honnh
忍咧,jím--leh
Há哈哈,há--hah--hah
lōo,lōo
笑,tshiò
恬恬,tiām-tiām
觀察,kuan-tshat
每,muí
圓仔的,înn-á--ê
願意,guān-ì
可惜啊,khó-sioh--ah
土地,thóo-tē
範勢,pān-sè
人品,jîn-phín
呢,neh
第七,tē-tshit
終其尾,tsiong-kî-bué
無仝囉,bô-kâng--looh
生做,senn-tsò
斯文斯文,su-bûn-su-bûn
少年家,siàu-liân-ke
行來,kiânn-lâi
麻煩你,mâ-huân--lí
斟酌,tsim-tsiok
看看咧,khuànn-khuànn--leh
少年的,siàu-liân--ê
知影無,tsai-iánn--bô
免錢呢,bián-tsînn--neh
挲,so,khì
買著,bé-tio̍h
真俗矣,tsin-sio̍k--ah
搝,khiú,giú
衫仔裾,sann-á-ki
細細聲,sè-sè-siann
買咧,bé--leh
好意,hó-ì
hīhā叫,hī-hā-kiò
有問題,ū-būn-tê
指指揬揬,kí-kí-tu̍h-tu̍h
冗剩,liōng-siōng
普通普通,phóo-thong-phóo-thong
受過,siū-kuè
教育,kàu-io̍k
難得,lân-tit
同情心,tông-tsîng-sim
聽無,thiann-bô
伯仔,peh--á
翻身,huan-sin
模樣,bôo-iūnn
專工,tsuan-kang
天頂,thinn-tíng
下凡,hā-huân
徒弟的,tôo-tē--ê
掣一趒,tshuah-tsi̍t-tiô
當時仔,tang-sî-á
擘,peh
選著,suán-tio̍h
我咧,guá--leh
微微仔,bî-bî-á
笑咧,tshiò--leh
聽候,thìng-hāu
偏人,phinn--lâng
隨个仔,suî-ê-á
隨个,suî-ê
跪落來,kuī--lo̍h-lâi
神仙啊,sîn-sian--ah
貪心,tham-sim
原諒,guân-liōng
阮啦,gún--lah
是啦,sī--lah
毋著矣啦,m̄-tio̍h--ah--lah
饒恕,jiâu-sù
變的,piàn--ê
擔頭,tann-thâu
暗喝,àm-huah
苦啊,khóo--ah
一半去矣,tsi̍t-puànn--khì--ah
講過矣,kóng--kuè--ah
信,sìn
唸,liām
看出來矣,khuànn--tshut-lâi--ah
削,siah
遐爾仔,hiah-nī-á
平啊,pênn--ah
塗圓仔,thôo-înn-á
腹肚內囉,pak-tóo-lāi--looh
看我,khuànn--guá
看你,khuànn--lí
幽幽仔疼,iu-iu-á-thiànn
𢯾咧,mooh--leh
開開開,khui-khui-khui
倒出來,tó--tshut-lâi
後悔,hiō-hué
越,ua̍t
考慮,khó-lū
參詳一下啦,tsham-siông--tsi̍t-ē--lah
得著,tit-tio̍h,tit--tio̍h
同意,tông-ì
仙界,sian-kài
本領囉,pún-líng--looh
旅客,lú-kheh,lí-kheh
補票的,póo-phiò--ê
列車,lia̍t-tshia
咧欲,tih-beh,teh-beh
進站,tsìn-tsām
